coordination,base_planner,difficulty,trials,successes,success_percent,successful_planning_mean_seconds,successful_planning_median_seconds,successful_path_makespan_mean_seconds,successful_path_makespan_median_seconds,all_trial_tree_nodes_total,all_trial_checked_waypoints_total,successful_tree_nodes_mean,successful_checked_waypoints_mean
prioritized,vanilla,easy,20,20,100.0,0.3593796699999075,0.3321019499999238,0.31,0.29000000000000004,194,15869,9.7,793.45
prioritized,vanilla,medium,20,0,0.0,,,,,7177,1381513,,
prioritized,vanilla,hard,20,0,0.0,,,,,7006,1380370,,
prioritized,vanilla,all,60,20,33.333333333333336,0.3593796699999075,0.3321019499999238,0.31,0.29000000000000004,14377,2777752,9.7,793.45
prioritized,flow,easy,20,13,65.0,12.300678953846027,10.611068700000033,1.343076923076923,1.26,18428,624610,546.1538461538462,20092.30769230769
prioritized,flow,medium,20,3,15.0,14.288157633334777,12.32136299999911,11.126666666666667,10.02,28067,991760,785.0,27979.0
prioritized,flow,hard,20,3,15.0,17.874662033333152,15.981879599999957,7.753333333333334,7.5,50666,1609263,1191.0,41264.0
prioritized,flow,all,60,19,31.666666666666668,13.494593968421166,12.32136299999911,3.9000000000000004,1.58,97161,3225633,685.6842105263158,24680.473684210527
crrt,vanilla,easy,20,2,10.0,15.04377580000073,15.04377580000073,0.6900000000000001,0.6900000000000001,5037,1557676,100.0,32869.0
crrt,vanilla,medium,20,0,0.0,,,,,4204,1443766,,
crrt,vanilla,hard,20,0,0.0,,,,,4837,1572940,,
crrt,vanilla,all,60,2,3.3333333333333335,15.04377580000073,15.04377580000073,0.6900000000000001,0.6900000000000001,14078,4574382,100.0,32869.0
crrt,flow,easy,20,1,5.0,25.99608029999945,25.99608029999945,1.84,1.84,12014,926534,592.0,32522.0
crrt,flow,medium,20,1,5.0,12.898129799999879,12.898129799999879,10.22,10.22,9297,1309677,230.0,26320.0
crrt,flow,hard,20,1,5.0,29.655251100004534,29.655251100004534,16.12,16.12,9986,1157325,608.0,47599.0
crrt,flow,all,60,3,5.0,22.84982040000129,25.99608029999945,9.393333333333334,10.22,31297,3393536,476.6666666666667,35480.333333333336
kcbs,vanilla,easy,20,20,100.0,0.3399314400001458,0.18342575000133365,0.3,0.28,205,17352,10.25,867.6
kcbs,vanilla,medium,20,0,0.0,,,,,9658,1815001,,
kcbs,vanilla,hard,20,0,0.0,,,,,8956,1771801,,
kcbs,vanilla,all,60,20,33.333333333333336,0.3399314400001458,0.18342575000133365,0.3,0.28,18819,3604154,10.25,867.6
kcbs,flow,easy,20,12,60.0,5.144221316665305,5.836791299996548,1.505,1.34,31250,959347,417.6666666666667,15703.333333333334
kcbs,flow,medium,20,1,5.0,8.722310500001186,8.722310500001186,6.86,6.86,45380,1476549,457.0,17188.0
kcbs,flow,hard,20,0,0.0,,,,,48796,1519729,,
kcbs,flow,all,60,13,21.666666666666668,5.419458946152679,5.986478899998474,1.916923076923077,1.34,125426,3955625,420.6923076923077,15817.538461538461
