coordination,base_planner,problem_id,difficulty,trial_seed,success,planner_solved,audit_passed,planning_time_seconds,path_makespan_seconds,path_mean_agent_time_seconds,path_cost,tree_nodes,high_level_nodes,iterations,checked_waypoints,error
crrt,flow,0,easy,2026082200,False,False,False,30.029667700000573,,,,576,576,584,45883,
crrt,flow,0,easy,2026082201,False,False,False,30.004158200004895,,,,608,608,632,44602,
crrt,flow,0,easy,2026082202,False,False,False,29.999574000001303,,,,647,647,673,41469,
crrt,flow,0,easy,2026082203,False,False,False,30.01096310000139,,,,591,591,607,48167,
crrt,flow,0,easy,2026082204,False,False,False,30.002754900000582,,,,638,638,659,46336,
crrt,flow,0,easy,2026082205,False,False,False,30.06452719999652,,,,501,501,515,59541,
crrt,flow,0,easy,2026082206,False,False,False,30.06066219999775,,,,644,644,665,43570,
crrt,flow,0,easy,2026082207,False,False,False,30.030033800001547,,,,560,560,584,62516,
crrt,flow,0,easy,2026082208,False,False,False,30.003603999997722,,,,662,662,685,46763,
crrt,flow,0,easy,2026082209,False,False,False,30.048533000001044,,,,567,567,599,41806,
crrt,flow,0,easy,2026082210,False,False,False,30.065339500004484,,,,601,601,620,40437,
crrt,flow,0,easy,2026082211,False,False,False,30.059552800004894,,,,530,530,546,58910,
crrt,flow,0,easy,2026082212,False,False,False,30.00373209999816,,,,644,644,659,39266,
crrt,flow,0,easy,2026082213,False,False,False,30.198034799999732,,,,626,626,646,53771,
crrt,flow,0,easy,2026082214,True,True,True,25.99608029999945,1.84,1.11,4.4399999999999995,592,592,603,32522,
crrt,flow,0,easy,2026082215,False,False,False,30.00291920000018,,,,585,585,605,44575,
crrt,flow,0,easy,2026082216,False,False,False,30.05209659999673,,,,588,588,611,43640,
crrt,flow,0,easy,2026082217,False,False,False,30.012353100006294,,,,623,623,644,45212,
crrt,flow,0,easy,2026082218,False,False,False,30.01149259999511,,,,673,673,696,34442,
crrt,flow,0,easy,2026082219,False,False,False,30.224880000001576,,,,558,558,572,53106,
crrt,flow,1,medium,2026082200,False,False,False,30.2211829999942,,,,525,525,545,57671,
crrt,flow,1,medium,2026082201,False,False,False,30.049271199997747,,,,450,450,495,62301,
crrt,flow,1,medium,2026082202,False,False,False,30.071868999999424,,,,415,415,434,73118,
crrt,flow,1,medium,2026082203,False,False,False,30.009903600002872,,,,560,560,595,68989,
crrt,flow,1,medium,2026082204,False,False,False,30.035309599996253,,,,564,564,586,56613,
crrt,flow,1,medium,2026082205,False,False,False,30.04664259999845,,,,571,571,590,49348,
crrt,flow,1,medium,2026082206,True,True,True,12.898129799999879,10.22,8.415,33.66,230,230,239,26320,
crrt,flow,1,medium,2026082207,False,False,False,30.003035499998077,,,,534,534,558,56002,
crrt,flow,1,medium,2026082208,False,False,False,30.362107100001595,,,,461,461,490,65520,
crrt,flow,1,medium,2026082209,False,False,False,30.048763799997687,,,,421,421,455,65441,
crrt,flow,1,medium,2026082210,False,False,False,30.03113730000041,,,,547,547,568,65982,
crrt,flow,1,medium,2026082211,False,False,False,30.009675799999968,,,,368,368,396,81703,
crrt,flow,1,medium,2026082212,False,False,False,30.012108500006434,,,,579,579,596,52345,
crrt,flow,1,medium,2026082213,False,False,False,30.008812599997327,,,,398,398,438,78965,
crrt,flow,1,medium,2026082214,False,False,False,30.065344199996616,,,,432,432,468,72586,
crrt,flow,1,medium,2026082215,False,False,False,30.007277199998498,,,,308,308,378,96229,
crrt,flow,1,medium,2026082216,False,False,False,30.040911900003266,,,,546,546,561,56807,
crrt,flow,1,medium,2026082217,False,False,False,30.044549500002177,,,,175,175,230,112802,
crrt,flow,1,medium,2026082218,False,False,False,30.07809830000042,,,,456,456,482,62533,
crrt,flow,1,medium,2026082219,False,False,False,29.999475299999176,,,,757,757,776,48402,
crrt,flow,2,hard,2026082200,False,False,False,30.02333770000405,,,,416,416,469,70895,
crrt,flow,2,hard,2026082201,False,False,False,30.04683659999864,,,,267,267,321,95451,
crrt,flow,2,hard,2026082202,False,False,False,30.024127399999998,,,,550,550,584,47798,
crrt,flow,2,hard,2026082203,False,False,False,30.05535489999602,,,,528,528,557,53469,
crrt,flow,2,hard,2026082204,False,False,False,30.02756640000007,,,,519,519,566,44499,
crrt,flow,2,hard,2026082205,False,False,False,30.111507800000254,,,,441,441,466,60068,
