coordination,base_planner,problem_id,difficulty,trial_seed,success,planner_solved,audit_passed,planning_time_seconds,path_makespan_seconds,path_mean_agent_time_seconds,path_cost,tree_nodes,high_level_nodes,iterations,checked_waypoints,error
prioritized,flow,0,easy,2026082200,True,True,True,3.046489299995301,0.58,0.385,1.54,47,0,40,1596,
prioritized,flow,0,easy,2026082201,True,True,True,4.269886800000677,0.5,0.42,1.68,189,0,185,7574,
prioritized,flow,0,easy,2026082202,False,False,False,29.997576000001573,,,,1861,0,2061,58279,
prioritized,flow,0,easy,2026082203,False,False,False,30.00071079999907,,,,1978,0,2813,65588,
prioritized,flow,0,easy,2026082204,False,False,False,29.995718899997883,,,,1898,0,2669,60489,
prioritized,flow,0,easy,2026082205,True,True,True,4.421442600003502,1.6,0.825,3.3000000000000003,102,0,97,4105,
prioritized,flow,0,easy,2026082206,True,True,True,4.724097400001483,0.58,0.365,1.46,138,0,134,5766,
prioritized,flow,0,easy,2026082207,True,True,True,1.7629668000008678,0.48,0.35000000000000003,1.4000000000000001,18,0,10,565,
prioritized,flow,0,easy,2026082208,True,True,True,4.919737799995346,0.98,0.52,2.08,175,0,169,6581,
prioritized,flow,0,easy,2026082209,True,True,True,1.335908199995174,0.6,0.41000000000000003,1.6400000000000001,18,0,10,567,
prioritized,flow,0,easy,2026082210,False,False,False,30.051027100002102,,,,1604,0,1849,48981,
prioritized,flow,0,easy,2026082211,True,True,True,5.860699100005149,1.12,0.585,2.34,279,0,277,9202,
prioritized,flow,0,easy,2026082212,False,False,False,30.074067299996386,,,,1176,0,1608,40791,
prioritized,flow,0,easy,2026082213,True,True,True,3.2398031999982777,0.78,0.51,2.04,25,0,25,962,
prioritized,flow,0,easy,2026082214,True,True,True,3.6386591000045883,0.6,0.385,1.54,119,0,112,5113,
prioritized,flow,0,easy,2026082215,True,True,True,2.3253404999995837,0.38,0.33,1.32,89,0,81,3345,
prioritized,flow,0,easy,2026082216,False,False,False,30.00289640000119,,,,1578,0,1901,51099,
prioritized,flow,0,easy,2026082217,True,True,True,2.4633349000068847,0.4,0.325,1.3,30,0,22,912,
prioritized,flow,0,easy,2026082218,True,True,True,6.114310500001011,0.48,0.4,1.6,130,0,123,5137,
prioritized,flow,0,easy,2026082219,True,True,True,1.8890564999965136,0.54,0.46,1.84,24,0,16,885,
prioritized,flow,1,medium,2026082200,False,False,False,30.004474299996218,,,,1659,0,1809,59155,
prioritized,flow,1,medium,2026082201,True,True,True,28.910591599997133,8.92,4.285,17.14,1073,0,1242,43297,
prioritized,flow,1,medium,2026082202,False,False,False,29.99259439999878,,,,1916,0,2051,60671,
prioritized,flow,1,medium,2026082203,True,True,True,8.16347140000289,8.02,5.545,22.18,240,0,259,10877,
prioritized,flow,1,medium,2026082204,False,False,False,30.02854500000103,,,,2093,0,2297,61263,
prioritized,flow,1,medium,2026082205,False,False,False,29.995948700001463,,,,2668,0,3617,83194,
prioritized,flow,1,medium,2026082206,False,False,False,30.053328399997554,,,,2002,0,2276,62395,
prioritized,flow,1,medium,2026082207,False,False,False,30.00189820000378,,,,2630,0,3083,79341,
prioritized,flow,1,medium,2026082208,False,False,False,30.014037100001588,,,,1562,0,1690,57560,
prioritized,flow,1,medium,2026082209,True,True,True,22.882882400001108,8.0,4.965,19.86,1038,0,1154,39145,
prioritized,flow,1,medium,2026082210,False,False,False,29.998966799998016,,,,757,0,1044,37030,
prioritized,flow,1,medium,2026082211,True,True,True,17.34826140000223,7.88,5.845,23.38,747,0,808,29696,
prioritized,flow,1,medium,2026082212,False,False,False,30.044704900006764,,,,1617,0,1693,59457,
prioritized,flow,1,medium,2026082213,True,True,True,10.789899300005345,8.64,5.335,21.34,364,0,384,14207,
prioritized,flow,1,medium,2026082214,False,False,False,30.001689800003078,,,,1749,0,2092,63716,
prioritized,flow,1,medium,2026082215,False,False,False,29.994539599996642,,,,2608,0,3714,81076,
prioritized,flow,1,medium,2026082216,False,False,False,30.000099099997897,,,,1227,0,1724,45303,
prioritized,flow,1,medium,2026082217,False,False,False,30.01444310000079,,,,1458,0,1599,49617,
prioritized,flow,1,medium,2026082218,False,False,False,30.006346200003463,,,,1797,0,1901,56218,
prioritized,flow,1,medium,2026082219,False,False,False,30.011834400000225,,,,2026,0,2297,65230,
prioritized,flow,2,hard,2026082200,False,False,False,30.00031790000503,,,,2213,0,2923,70827,
prioritized,flow,2,hard,2026082201,False,False,False,30.046623599999293,,,,1950,0,2142,62131,
prioritized,flow,2,hard,2026082202,False,False,False,30.043334300004062,,,,2018,0,2612,72852,
prioritized,flow,2,hard,2026082203,False,False,False,30.06779870000173,,,,2054,0,2807,67783,
prioritized,flow,2,hard,2026082204,False,False,False,29.990579199999047,,,,2258,0,2860,75149,
prioritized,flow,2,hard,2026082205,False,False,False,30.00150360000407,,,,1714,0,2313,56549,
prioritized,flow,2,hard,2026082206,False,False,False,30.031883100004052,,,,3100,0,3508,87263,
prioritized,flow,2,hard,2026082207,False,False,False,30.06294060000073,,,,2340,0,2694,71060,
prioritized,flow,2,hard,2026082208,False,False,False,29.996345399995334,,,,1839,0,2309,64007,
prioritized,flow,2,hard,2026082209,False,False,False,30.009686099998362,,,,2693,0,3921,84050,
prioritized,flow,2,hard,2026082210,False,False,False,30.006329199997708,,,,2565,0,2947,76492,
